formId,formTitle,state,wrapperName,wrapperDisplayName,coordinator,operator,conditionType,conditionValue,conditionDisplay,conditionDirection,conditionUnit,conditionPeriod,fieldDisplay,fieldName,fieldType,fieldTypeIsListType
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,GouRvp,Other species,,contains,Value,Other,Other species,,,,which wild birds you want to control? ,bNhVtH,CheckboxesField,true
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,gRTDsU,Non lethal actions guidance,,is,Value,false,false,,,,Have you considered whether non-lethal alternatives were or would be ineffective alone in resolving the situation?,kOmePe,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,VYCByt,Conservation,,is,Value,"Conserve wild birds, other animals or plants","Conserve other wild birds, animals, plants or vegetation",,,,Why are you applying for a licence to control wild birds? ,YpVSBm,RadiosField,true
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,kjvGfx,Public health and safety,,is,Value,Preserve public health or safety,Preserve public health or safety,,,,Why are you applying for a licence to control wild birds? ,YpVSBm,RadiosField,true
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,tXsRZz,Spread of disease,,is,Value,prevent disease ,prevent disease ,,,,Why are you applying for a licence to control wild birds? ,YpVSBm,RadiosField,true
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,teecXF,Damage,,is,Value,prevent serious damage,prevent serious damage,,,,Why are you applying for a licence to control wild birds? ,YpVSBm,RadiosField,true
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,zynCJn,conservation concern,,is,Value,false,false,,,,Is the species you need to control having an impact on the species or habitat you want to conserve?,bYSEPv,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,dykYqj,Wider measures,,is,Value,false,false,,,,Can you provide evidence that non-lethal alternatives were or would be ineffective alone in resolving the situation?,UKFUoY,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,PEIDnJ,Not serious damage,,is,Value,false,false,,,,Is the damage serious?,ZqRgHO,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,tHhYic,non-lethal alternatives,,is,Value,true,true,,,,Would non-lethal alternatives be ineffective alone in resolving the situation?,kOmePe,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,JZMhaI,Appropriate measures guidance,,is,Value,false,false,,,,Can you provide evidence that non-lethal alternatives were ineffective alone in resolving the situation?,gRaPsR,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,wtCpPm,Not a conservation concern,,is,Value,false,false,,,,Is the species you need to conserve of recognised concern?,KIqaOS,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,fyCXlf,Appropriate measures to prevent damage,,is,Value,false,false,,,,Can you provide evidence that non-lethal alternatives were ineffective alone in resolving the situation?,HYPnzA,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,WoYigt,Appropriate measures ,,is,Value,false,false,,,,Can you provide evidence that non-lethal alternatives were ineffective alone in resolving the situation?,gRaPsR,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,OVeGIZ,No impact,,is,Value,false,false,,,,Is the species you need to control having an impact on the species or habitat you want to conserve?,bYSEPv,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,oMTEwB,Not public health and safety,,is,Value,false,No,,,,Do the wild birds pose a serious risk to public health and safety? ,FlhmvM,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,WdsYyM,Not a disease concern,,is,Value,false,false,,,, Do you want control wild birds due to concerns over  the spread of disease?,myHlyc,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,pBVefR,air safety,,is,Value,air safety,air safety,,,,Why are you applying for a licence to control wild birds? ,YpVSBm,RadiosField,true
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,NCLlbP,plant or vegetation conservation concern,,is,Value,false,No,,,,Is the plant or vegetation a recognised conservation concern?,HIqaDE,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,uUwbYK,Not a feature of a protected site,,is,Value,false,No,,,,Is the species a feature of a protected site in unfavourable condition?,kocHSF,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,ZpzlDM,Protected site,,is,Value,true,Yes,,,,Will the proposed activity be near or within a protected site?,azPepW,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,lqyOrF,Conservation and protected site,,is,Value,"Conserve wild birds, other animals or plants","Conserve other wild birds, animals, plants or vegetation",,,,Why are you applying for a licence to control wild birds? ,YpVSBm,RadiosField,true
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,lqyOrF,Conservation and protected site,and,is,Value,true,Yes,,,,Will the proposed activity be near or within a protected site?,azPepW,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,JXMCGp,Not air safety,,is,Value,false,No,,,,Is the bird species you want to control causing a genuine risk to air safety? ,HnVuHJ,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,pbOogx,Not vulnerable,,is,Value,false,No,,,,Is the species you want to conserve vulnerable at the site where it exists?,xCkjFc,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,GlWtLq,Appropriate measures to preserve public health and safety,,is,Value,false,No,,,,Can you provide evidence that non-lethal alternatives were ineffective alone in resolving the situation?,gRaPsR,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,YCYXNt,Appropriate measures to preserve air safety,,is,Value,false,No,,,,Can you provide evidence that shows that alternatives methods have been or would be ineffective?,CRkSIc,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,mqfDMW,Appropriate measures to prevent spread of disease,,is,Value,false,No,,,,Can you provide evidence that shows that alternatives methods have been or would be ineffective?,ToCNSv,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,AAtaJC,Conservation and not protected site,,is,Value,"conserve wild birds, other animals or plants","conserve other wild birds, animals, plants or vegetation",,,,Why are you applying for a licence to control wild birds? ,YpVSBm,RadiosField,true
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,AAtaJC,Conservation and not protected site,and,is,Value,false,No,,,,Will the proposed activity be near or within a protected site?,azPepW,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,TlYmVv,No impact on conservation,,is,Value,false,No,,,,Can you provide evidence that the birds you want to control are having a negative impact on the species you're trying to conserve?,lCMdcn,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,gYLWZJ,No impact on public health and safety,,is,Value,false,No,,,,Can you provide evidence of the risk to public health and safety?,vOWPJl,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,fyEWJZ,No evidence of damage,,is,Value,false,No,,,,Can you provide evidence that the damage is or likely to be serious?,INmvDF,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,mwpDnG,Not risk of spreading disease,,is,Value,false,No,,,,Can you provide evidence of the risk of a disease being spread?,EsyVxA,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,fGTTHo,Air safety happy,,is,Value,true,Yes,,,,Can you provide evidence that shows that alternatives methods have been or would be ineffective?,CRkSIc,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,MNsWaS,infectious avian diseases,,is,Value,true,Yes,,,,Do you want to control the wild birds to prevent the spread of an infectious avian disease to other birds?',SRXvYQ,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,NxMYVx,Air safety and  not protected site,,is,Value,false,No,,,,Will the proposed activity be within 300 metres or more of a protected site? ,NHysPc,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,DqbzCa,Air safety and protected sites,,is,Value,true,Yes,,,,Will the proposed activity be within 300 metres or more of a protected site? ,NHysPc,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,XFNfgD,Not food premises,,is,Value,false,No,,,,Do you need to trap or realise birds from a food premises?,QXqhEw,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,bKkkif,CL03,,is not,Value,No,No,,,,Does the CL03 class licence cover your circumstances?,XyIxIP,RadiosField,true
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,VIoVZt,CL12,,is not,Value,No,No,,,,Does the CL12 class licence cover your circumstances? ,XaySzm,RadiosField,true
667e8b3108138a41f4223a77,Register as a unicorn breeder,draft,IrVmYz,Address is different,,is,Value,false,false,,,,address,dBfuID,YesNoField,false
667e8b3108138a41f4223a77,Register as a unicorn breeder,draft,oyGPwP,Address is not the same,,is,Value,false,No,,,,Contact details: Send certificate to same address,dBfuID,YesNoField,false
667e8b3108138a41f4223a77,Register as a unicorn breeder,live,IrVmYz,Address is different,,is,Value,false,false,,,,address,dBfuID,YesNoField,false
667e8b3108138a41f4223a77,Register as a unicorn breeder,live,oyGPwP,Address is not the same,,is,Value,false,No,,,,Contact details: Send certificate to same address,dBfuID,YesNoField,false
6683dd834682daf93da25879,Register a boat at Rye Harbour,draft,smXrfq,Insurance negative,,is,Value,false,false,,,,Is the boat insured?,tMsgnG,YesNoField,false
6683dd834682daf93da25879,Register a boat at Rye Harbour,live,smXrfq,Insurance negative,,is,Value,false,false,,,,Is the boat insured?,tMsgnG,YesNoField,false
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,VZGbHH,Agent positive,,is,Value,Someone working on behalf of the owner or occupier,Someone working on behalf of the owner or occupier,,,,In what capacity are you submitting this notice ?,qnUssW,RadiosField,true
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,VZGbHH,Agent positive,and,is,Value,Third party,Third party,,,,In what capacity are you submitting this notice ?,qnUssW,RadiosField,true
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,uTNQqT,Agent,,is not,Value,Someone working on behalf of the owner or occupier,Someone working on behalf of the owner or occupier,,,,In what capacity are you submitting this notice ?,qnUssW,RadiosField,true
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,RcXXAN,ELM,,is,Value,false,false,,,,Are the proposed operations being carried out as part of a land management agreement ?,XLfgSn,YesNoField,false
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,uVtgky,SSSI,,is,Value,false,false,,,,Operations on multiple SSSI's,YcDplu,YesNoField,false
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,Qlzwue,Operations over multiple locations,,is not,Value,Carrying out all operations at one location,Carrying out all operations at one location,,,,Will the operations take place in multiple locations?,utZAJb,RadiosField,true
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,Qlzwue,Operations over multiple locations,and,is not,Value,existing_land_management_scheme_agreement,An existing land management scheme agreement,,,,Are you applying for consent as part of a land management agreement or licence,powOIp,RadiosField,true
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,syXaoJ,Not owner or occupier,,is not,Value,Owner,Owner,,,,In what capacity are you submitting this notice ?,qnUssW,RadiosField,true
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,syXaoJ,Not owner or occupier,and,is not,Value,Occupier,Occupier,,,,In what capacity are you submitting this notice ?,qnUssW,RadiosField,true
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,xmAXlA,Notification date,,is less than,RelativeDate,,,in the future,days,28,When are the operations going to start?,Dnryot,DatePartsField,false
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,kjIjHr,MTA,,is,Value,Minor and Temporary Adjustments (MTA) linked to Countryside Stewardship (CS) and Environmental Stewardship (ES) agreements,Minor and Temporary Adjustments (MTA) linked to a Countryside Stewardship (CS) or a Environmental Stewardship (ES) agreements,,,, What are you applying for consent under?,ORPvhz,RadiosField,true
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,HoTNFD,Sought advice,,is not,Value,None of the above,None of the above,,,,Have you sought advice from Natural England about your notice? ,IfTuVx,RadiosField,true
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,UujaOB,Tree felling,,is,Value,forestry_commission_tree_felling_licence,A Forestry Commission tree felling licence,,,,Are you applying for consent as part of a land management agreement or licence,powOIp,RadiosField,true
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,WMILuk,Countryside Stewardship reference number,,is,Value,Countryside Stewardship Capital Grants agreement,Countryside Stewardship Capital Grants agreement,,,, What are you applying for consent under?,ORPvhz,RadiosField,true
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,WMILuk,Countryside Stewardship reference number,or,is,Value,Higher Tier Countryside Stewardship agreement,Higher Tier Countryside Stewardship agreement,,,, What are you applying for consent under?,ORPvhz,RadiosField,true
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,WMILuk,Countryside Stewardship reference number,or,is,Value,Mid-Tier Countryside Stewardship agreement,Mid-Tier Countryside Stewardship agreement,,,, What are you applying for consent under?,ORPvhz,RadiosField,true
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,POcTng,HLS,,is,Value,Higher Level Stewardship (HLS) agreement,Higher Level Stewardship (HLS) agreement,,,, What are you applying for consent under?,ORPvhz,RadiosField,true
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,LSZrHM,Single SSSI,,is,Value,1 SSSI,1 SSSI,,,,Are the planned activities going to be carried out over more than one SSSI?,YGkDFj,RadiosField,true
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,tykAEN,WL licence,,is,Value,natural_england_wildlife_licence,A Natural England wildlife licence,,,,Are you applying for consent as part of a land management agreement or licence,powOIp,RadiosField,true
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,QEkcFW,Land management agreement,,is,Value,existing_land_management_scheme_agreement,An existing land management scheme agreement,,,,Are you applying for consent as part of a land management agreement or licence,powOIp,RadiosField,true
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,EepnuX,Consent under an agreement,,is,Value,existing_land_management_scheme_agreement,An existing land management scheme agreement,,,,Are you applying for consent as part of a land management agreement or licence,powOIp,RadiosField,true
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,FsuMPa,Planning permission,,is,Value,Planning permission,Planning permission,,,,Are you applying for consent as part of a land management agreement or licence,powOIp,RadiosField,true
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,lcUJdJ,Other scheme,,is,Value,Other scheme or licence,Other scheme or licence,,,,Are you applying for consent as part of a land management agreement or licence,powOIp,RadiosField,true
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,vDuQhc,Advice,,is,Value,None of the above,None of the above,,,,Are you applying for consent as part of a land management agreement or licence,powOIp,RadiosField,true
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,QjtkgO,Third party,,is,Value,Third party,Third party,,,,In what capacity are you submitting this notice ?,qnUssW,RadiosField,true
66851557a608789f306eb11f,Report fraud and irregularity against the Environment Agency,live,YNtuZh,No - do not want to provide contact details,,is,Value,false,false,,,,Do you want to provide your contact details?,OYuNWP,YesNoField,false
66851557a608789f306eb11f,Report fraud and irregularity against the Environment Agency,live,WxVAuY,No contact details,,is,Value,false,false,,,,Do you want to provide your contact details?,HhevEy,YesNoField,false
66851557a608789f306eb11f,Report fraud and irregularity against the Environment Agency,live,bXKwUx,No contact sensitivities,,is,Value,false,false,,,,contact you directly,FNPFsc,YesNoField,false
66851557a608789f306eb11f,Report fraud and irregularity against the Environment Agency,live,vqSFau,Yes - work for EA,,is,Value,true,true,,,,have you worked for the Environment Agency,cyjpRl,YesNoField,false
66851557a608789f306eb11f,Report fraud and irregularity against the Environment Agency,live,HPDsde,No - do no work for EA,,is,Value,false,false,,,,have you worked for the Environment Agency,cyjpRl,YesNoField,false
66851557a608789f306eb11f,Report fraud and irregularity against the Environment Agency,live,lHgLBB,Issue reported before,,is,Value,true,true,,,,reported before,AGLECG,YesNoField,false
66851557a608789f306eb11f,Report fraud and irregularity against the Environment Agency,live,BfNrRG,no - issue not reported before,,is,Value,false,false,,,,reported before,AGLECG,YesNoField,false
66851557a608789f306eb11f,Report fraud and irregularity against the Environment Agency,live,eqStnQ,Yes - there are contact preferences,,is,Value,true,true,,,,contact you directly,FNPFsc,YesNoField,false
66851557a608789f306eb11f,Report fraud and irregularity against the Environment Agency,live,TeyvXE,Yes - provide contact details,,is,Value,true,true,,,,Do you want to provide your contact details?,HhevEy,YesNoField,false
66851557a608789f306eb11f,Report fraud and irregularity against the Environment Agency,live,FIIPOA,found other is other,,is,Value,Other,Other,,,,how you became aware of the issue,iClovo,RadiosField,true
66851557a608789f306eb11f,Report fraud and irregularity against the Environment Agency,live,vVxCRf,Yes - knows name,,is,Value,true,true,,,,Name of the person involved known,QUWemC,YesNoField,false
66851557a608789f306eb11f,Report fraud and irregularity against the Environment Agency,live,lEayQf,no - does not know name,,is,Value,false,false,,,,Name of the person involved known,QUWemC,YesNoField,false
668542e168f6e151c58ccc87,Apply for a research import certificate,draft,ttfVui,No - different name,,is,Value,false,false,,,,Different name,ExAdsc,YesNoField,false
668542e168f6e151c58ccc87,Apply for a research import certificate,draft,luFuKv,Yes - unauthorised,,is,Value,true,true,,,,Product unauthorised,Hdtafk,YesNoField,false
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,HkZPxJ,livestock only,,is,Value,livestock only,livestock only,,,,What do you want to register?,iXwGcW,RadiosField,true
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,lMZXws,livestock and animal by-products,,is,Value,livestock and animal by-products,livestock and animal by-products,,,,What do you want to register?,iXwGcW,RadiosField,true
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,uiTSgY,animal by-products only,,is,Value,animal by-products only,animal by-products only,,,,What do you want to register?,iXwGcW,RadiosField,true
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,BpTXyI,Business address is not the same as home address,,is,Value,false,false,,,,Is your business address the same as your home address?,CMTiOK,YesNoField,false
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,TngqpM,Does not contain 'Other or my business uses animal by-products',,does not contain,Value,Other or my business uses animal by-products,Other or my business uses animal by-products,,,,What livestock do you keep?,livestock-keep,CheckboxesField,true
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,FoYTFn,No - will not keep livestock at business address,,is,Value,false,false,,,,Will you keep livestock or use animal by-products at your home address?,QcfaVC,YesNoField,false
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,qLowJn,No - Will you keep livestock or use animal by-products anywhere else?,,is,Value,false,false,,,,Will you keep livestock or use animal by-products anywhere else?,MBoevI,YesNoField,false
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,jxSqwt,No - will not keep livestock at home address,,is,Value,false,false,,,,Will you keep livestock or use animal by-products at your home address?,QcfaVC,YesNoField,false
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,BStxIv,Yes - will keep livestock at business address,,is,Value,true,true,,,,Will you keep livestock or use animal by-products at your business address?,RiEsSm,YesNoField,false
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,yTTblu,No - do not own the land,,is,Value,false,false,,,,Do you own the land?,rOgnUv,YesNoField,false
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,pOUOIi,Yes - the landowner has a CPH number for the land,,is,Value,true,true,,,,Is your tenancy agreement for more than one year?,qLmGSL,YesNoField,false
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,jHDHJK,Yes - tenancy agreement is for more than one year,,is,Value,true,true,,,,Is your tenancy agreement for more than one year?,qLmGSL,YesNoField,false
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,WgVJGi,No - tenancy agreement is not for more than one year,,is,Value,false,false,,,,Is your tenancy agreement for more than one year?,qLmGSL,YesNoField,false
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,VtzzTR,Yes - own the land,,is,Value,true,true,,,,Do you own the land?,rOgnUv,YesNoField,false
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,GhOaqI,No - not registered with Companies House,,is,Value,false,false,,,,Is your business registered with Companies House?,rJIKfO,YesNoField,false
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,cGDdyD,No - not registered with the Charity Commission,,is,Value,false,false,,,,Is your charity registered with the Charity Commission?,DRrBSz,YesNoField,false
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,HhHvCo,Must have a charity number,,is,Value,Charitable trust,Charitable trust,,,,Business legal status,yHQAol,RadiosField,true
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,PxBtNC,Not a business (Applying on behalf of a business),,is,Value,false,No,,,,Applying on behalf of a business,mSqqmJ,YesNoField,false
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,WHxsFL,"Northern Ireland, Scotland or Wales",,is,Value,Scotland,Scotland,,,,Country where you will keep livestock,aYjRCZ,RadiosField,true
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,WHxsFL,"Northern Ireland, Scotland or Wales",or,is,Value,Wales,Wales,,,,Country where you will keep livestock,aYjRCZ,RadiosField,true
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,WHxsFL,"Northern Ireland, Scotland or Wales",or,is,Value,Northern Ireland,Northern Ireland,,,,Country where you will keep livestock,aYjRCZ,RadiosField,true
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,KzDEBv,Contains animal by-products,,contains,Value,Animal by-products,Animal by-products,,,,Livestock that you keep,vumpmr,CheckboxesField,true
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,SmRHwO,Hobbyist,,is,Value,Im a hobbyist keeper,I'm a hobbyist keeper,,,,Are you a hobbyist keeper or a business?,FsSpLA,RadiosField,true
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,NqsUxW,Business legal status is something else,,is,Value,Something else,Something else,,,,Business legal status,yHQAol,RadiosField,true
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,aEAQKS,Is Charitable incorporated organisation (CIO),,is,Value,Charitable incorporated organisation CIO,Charitable incorporated organisation (CIO),,,,Business legal status: something else,MfzkDz,RadiosField,true
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,mLnJPE,Main business type is something else,,is,Value,Something else,Something else,,,,Business type,AoofuF,RadiosField,true
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,tEkhIS,Other business type,,is,Value,Other,Other,,,,Main purpose of your business: something else,luoxoh,RadiosField,true
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,fLLefX,Yes - already registered with RPA,,is,Value,true,Yes,,,,Registered with the Rural Payments Agency,zcjEtV,YesNoField,false
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,dfoUtU,Less than 50 birds,,contains,Value,Less than 50 poultry or other captive birds,Less than 50 poultry or other captive birds,,,,Livestock that you keep,vumpmr,CheckboxesField,true
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,dfoUtU,Less than 50 birds,and,does not contain,Value,Cattle,Cattle,,,,Livestock that you keep,vumpmr,CheckboxesField,true
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,dfoUtU,Less than 50 birds,and,does not contain,Value,Sheep,Sheep,,,,Livestock that you keep,vumpmr,CheckboxesField,true
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,dfoUtU,Less than 50 birds,and,does not contain,Value,Goats,Goats,,,,Livestock that you keep,vumpmr,CheckboxesField,true
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,dfoUtU,Less than 50 birds,and,does not contain,Value,Pigs,Pigs,,,,Livestock that you keep,vumpmr,CheckboxesField,true
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,dfoUtU,Less than 50 birds,and,does not contain,Value,Deer,Deer,,,,Livestock that you keep,vumpmr,CheckboxesField,true
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,dfoUtU,Less than 50 birds,and,does not contain,Value,More than 50 birds,More than 50 birds,,,,Livestock that you keep,vumpmr,CheckboxesField,true
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,dfoUtU,Less than 50 birds,and,does not contain,Value,Animal by-products,Animal by-products,,,,Livestock that you keep,vumpmr,CheckboxesField,true
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,dfoUtU,Less than 50 birds,and,does not contain,Value,Camelids ,Camelids ,,,,Livestock that you keep,vumpmr,CheckboxesField,true
668655e3a608789f306eb121,Apply for a county parish holding (CPH) number,draft,Mofdix,Does not need a charity number or Companies house number and is not something else,,is,Value,Sole trader,Sole trader,,,,Business legal status,yHQAol,RadiosField,true
